Title,Rating,Year,Actors,Runtime
Dhuruvangal Pathinaaru,8.5,2016,"('Fatima Sana Shaikh', 'Sanya Malhotra', 'Jayam Ravi', 'Arvind Swamy')",105 min
Dangal,8.5,2016,"('Nayanthara', 'Nassar', 'Nirup Bhandari', 'Radhika Chetan')",161 min
Thani Oruvan,8.5,2015,"('Avantika Shetty', 'Sai Kumar', 'Miles Teller', 'J.K. Simmons')",160 min
RangiTaranga,8.5,2015,"('Melissa Benoist', 'Paul Reiser', 'François Cluzet', 'Omar Sy')",149 min
Whiplash,8.5,2014,"('Anne Le Ny', 'Audrey Fleurot', 'Vyacheslav Dovzhenko', 'Roman Yasinovsky')",106 min
The Intouchables,8.5,2011,"('Andrey Isaenko', 'Viktor Zhdanov', 'Rinku Rajguru', 'Akash Thosar')",112 min
Kiborgy. Heroyi ne vmyrayut,8.4,2017,"('Arbaz Shaikh', 'Tanaji Galgunde', 'Ryûnosuke Kamiki', 'Mone Kamishiraishi')",112 min
Sairat,8.4,2016,"('Ryô Narita', 'Aoi Yûki', 'Siddharth', 'Bobby Simha')",174 min
Kimi no na wa.,8.4,2016,"('Lakshmi Menon', 'Nassar', 'Kishore Kumar G.', 'Rakshit Shetty')",106 min
Jigarthanda,8.4,2014,"('Thara', 'Achyuth Kumar', 'Vijay Sethupathi', 'Sanchita Shetty')",171 min
Ulidavaru Kandanthe,8.4,2014,"('Radha Ravi', 'M.S. Bhaskar', 'Anthony Gonzalez', 'Gael García Bernal')",154 min
Soodhu Kavvum,8.4,2013,"('Benjamin Bratt', 'Alanna Ubach', 'Sathish Neenasam', 'Sruthi Hariharan')",135 min
Coco,8.4,2017,"('Achyuth Kumar', 'Sabreen Baker', 'Pooja Kumar', 'Miles Anderson')",105 min
Lucia,8.4,2013,"('Kamal Haasan', 'Rahul Bose', 'Jamie Foxx', 'Christoph Waltz')",135 min
Vishwaroopam,8.4,2013,"('Leonardo DiCaprio', 'Kerry Washington', 'Christian Bale', 'Tom Hardy')",148 min
Django Unchained,8.4,2012,"('Anne Hathaway', 'Gary Oldman', 'Aamir Khan', 'Madhavan')",165 min
The Dark Knight Rises,8.4,2012,"('Mona Singh', 'Sharman Joshi', 'Ben Burtt', 'Elissa Knight')",164 min
3 Idiots,8.4,2009,"('Jeff Garlin', 'Fred Willard', 'Karthi', 'Rakul Preet Singh')",170 min
WALL·E,8.4,2008,"('Abhimanyu Singh', 'Bose Venkat', 'Payman Maadi', 'Navid Mohammadzadeh')",98 min
Theeran Adhigaaram Ondru,8.3,2017,"('Parinaz Izadyar', 'Shabnam Moghadami', 'Prabhas', 'Rana Daggubati')",157 min
Abad va yek rooz,8.3,2016,"('Anushka Shetty', 'Tamannaah Bhatia', 'Nivin Pauly', 'Sai Pallavi')",95 min
